ID,age,sex
3,45.0,F
4,46.0,F
5,42.0,F
6,49.0,F
8,47.0,F
9,52.0,M
12,49.0,F
15,65.0,F
16,34.0,F
18,34.0,F
21,43.0,M
23,47.0,M
24,40.0,M
27,35.0,F
28,50.0,F
30,39.0,M
33,52.0,F
39,28.0,F
40,46.0,F
42,62.0,F
44,52.0,F
45,37.0,F
46,74.0,F
47,54.0,M
48,66.0,M
54,38.0,M
56,31.0,M
57,60.0,F
58,35.0,F
60,40.0,M
61,87.0,F
62,78.0,F
65,45.0,F
67,64.0,F
69,65.0,F
70,40.0,M
71,34.0,M
74,47.0,M
75,54.0,M
77,40.0,F
81,63.0,F
84,44.0,M
88,57.0,F
89,43.0,F
90,25.0,M
96,46.0,F
100,39.0,M
101,36.0,F
103,66.0,F
107,49.0,F
111,71.0,F
113,72.0,M
117,53.0,F
118,31.0,F
120,35.0,M
122,55.0,F
125,28.0,F
126,31.0,F
128,34.0,F
138,39.0,F
139,43.0,F
140,37.0,F
142,37.0,M
146,51.0,M
148,52.0,F
149,49.0,F
151,51.0,F
152,39.0,M
153,49.0,M
156,65.0,M
160,39.0,M
161,51.0,M
162,40.0,F
163,65.0,F
165,37.0,M
167,27.0,F
169,38.0,F
170,48.0,M
172,48.0,M
174,48.0,F
176,20.0,M
177,46.0,F
180,46.0,M
181,39.0,M
183,30.0,M
185,44.0,F
186,62.0,M
187,45.0,F
190,34.0,F
191,44.0,M
196,38.0,F
201,58.0,F
203,75.0,M
208,54.0,F
210,42.0,F
212,61.0,M
214,36.0,F
216,46.0,M
227,49.0,M
228,51.0,M
233,62.0,M
237,42.0,M
240,30.0,M
241,50.0,F
243,29.0,M
246,60.0,F
249,47.0,F
251,39.0,F
253,34.0,M
254,41.0,M
256,56.0,F
258,55.0,M
259,27.0,M
265,46.0,F
270,36.0,F
272,67.0,M
273,62.0,M
275,38.0,F
277,62.0,M
278,19.0,F
281,43.0,M
283,59.0,F
284,34.0,M
285,34.0,F
286,47.0,M
288,59.0,F
290,35.0,F
291,50.0,M
296,56.0,F
299,33.0,M
300,46.0,F
301,56.0,M
302,38.0,F
303,35.0,F
304,39.0,M
306,31.0,F
307,66.0,F
308,58.0,F
309,34.0,F
310,43.0,M
311,25.0,M
313,63.0,M
314,32.0,M
315,44.0,M
317,51.0,M
322,24.0,F
324,38.0,F
326,44.0,F
328,55.0,M
329,49.0,M
331,35.0,M
332,53.0,F
333,19.0,M
335,40.0,F
336,50.0,F
337,55.0,M
338,54.0,M
339,66.0,M
340,51.0,M
341,41.0,F
343,52.0,M
344,50.0,F
346,41.0,F
347,44.0,F
350,43.0,F
352,37.0,F
353,35.0,F
354,41.0,M
356,53.0,M
357,43.0,M
361,23.0,M
364,20.0,F
368,48.0,M
369,54.0,M
371,43.0,F
372,51.0,F
373,49.0,F
374,45.0,M
375,30.0,M
377,50.0,M
378,40.0,F
379,55.0,F
380,32.0,F
381,75.0,M
382,39.0,F
384,34.0,M
386,48.0,F
387,18.0,M
388,51.0,M
390,58.0,F
391,19.0,F
394,60.0,F
395,35.0,F
396,49.0,M
399,41.0,F
400,49.0,F
401,33.0,M
402,33.0,M
404,68.0,M
405,38.0,M
407,67.0,M
410,49.0,M
412,54.0,M
414,55.0,F
416,37.0,M
418,33.0,F
419,20.0,M
421,40.0,M
422,23.0,M
427,26.0,M
431,52.0,M
432,48.0,F
434,38.0,M
435,43.0,F
436,49.0,M
438,54.0,F
446,66.0,M
447,50.0,M
449,34.0,M
451,38.0,F
454,63.0,M
455,48.0,F
457,42.0,M
458,53.0,M
460,28.0,F
461,38.0,F
462,37.0,M
463,36.0,F
464,47.0,M
465,50.0,M
466,57.0,F
467,37.0,F
468,20.0,F
470,48.0,M
471,21.0,F
473,49.0,F
475,30.0,F
476,42.0,F
479,16.0,M
480,47.0,F
483,53.0,F
485,45.0,M
487,52.0,M
491,18.0,F
492,41.0,M
494,41.0,F
497,47.0,M
500,51.0,M
501,33.0,F
502,63.0,M
505,34.0,M
510,36.0,M
511,33.0,F
512,59.0,M
516,55.0,F
519,47.0,M
520,54.0,M
525,49.0,F
526,34.0,F
527,33.0,F
528,50.0,M
529,46.0,M
530,47.0,M
534,48.0,M
535,35.0,M
537,27.0,M
539,30.0,F
540,75.0,F
542,57.0,M
543,55.0,M
544,33.0,M
545,50.0,F
547,32.0,F
550,38.0,F
551,44.0,F
554,52.0,M
555,43.0,M
556,42.0,M
557,61.0,F
558,42.0,F
559,42.0,M
560,54.0,F
561,55.0,F
564,39.0,F
566,67.0,F
567,42.0,F
570,30.0,F
571,54.0,M
574,45.0,M
576,47.0,M
581,57.0,F
582,44.0,F
583,28.0,F
585,36.0,M
586,32.0,M
587,46.0,M
588,63.0,M
589,71.0,F
590,41.0,F
591,50.0,M
593,56.0,F
595,39.0,F
600,67.0,F
601,35.0,F
602,57.0,F
603,58.0,M
606,30.0,F
607,62.0,M
608,52.0,F
609,36.0,F
611,54.0,M
612,44.0,M
613,51.0,M
615,48.0,F
616,29.0,F
617,35.0,M
618,36.0,M
621,20.0,F
622,63.0,F
625,52.0,F
627,44.0,M
630,61.0,M
631,58.0,F
636,31.0,F
637,68.0,M
639,29.0,F
641,39.0,F
642,55.0,M
645,38.0,M
646,67.0,M
648,30.0,M
649,52.0,M
651,44.0,M
653,52.0,M
657,37.0,M
658,33.0,M
659,45.0,M
660,54.0,M
666,39.0,M
668,32.0,M
669,48.0,M
670,49.0,F
672,34.0,F
673,37.0,F
675,53.0,F
677,51.0,M
690,41.0,F
691,48.0,M
692,51.0,F
693,59.0,F
694,44.0,F
696,63.0,M
697,29.0,F
700,43.0,M
701,66.0,M
702,63.0,M
703,50.0,F
705,50.0,F
707,21.0,F
708,33.0,F
709,59.0,F
712,37.0,M
714,28.0,F
715,44.0,M
716,40.0,F
717,60.0,M
719,49.0,F
722,39.0,F
723,41.0,F
724,28.0,F
725,53.0,F
730,80.0,F
731,60.0,F
736,34.0,F
737,47.0,F
740,49.0,F
743,41.0,M
746,43.0,M
747,35.0,M
748,40.0,F
750,50.0,M
751,65.0,F
753,41.0,M
754,56.0,M
46,74.0,F
769,31.0,M
770,20.0,M
771,65.0,M
772,35.0,M
774,35.0,M
775,38.0,M
776,57.0,M
777,47.0,M
779,50.0,F
780,49.0,F
783,61.0,F
784,40.0,M
785,62.0,M
786,41.0,F
789,29.0,F
790,63.0,M
791,45.0,F
792,42.0,F
793,40.0,F
794,37.0,F
795,46.0,F
796,42.0,M
870,30.0,F
871,80.0,M
872,78.0,M
873,70.0,M
874,36.0,F
877,35.0,F
878,38.0,F
880,46.0,F
881,69.0,M
882,59.0,M
884,41.0,F
885,40.0,F
886,47.0,M
887,34.0,M
888,47.0,M
890,42.0,M
891,39.0,M
892,41.0,F
894,35.0,F
895,68.0,M
896,65.0,F
898,57.0,F
899,49.0,F
901,39.0,F
902,44.0,M
903,61.0,F
905,52.0,F
906,55.0,F
908,65.0,M
909,20.0,F
910,39.0,F
912,49.0,M
913,30.0,F
914,44.0,M
915,17.0,M
916,45.0,M
917,26.0,F
918,31.0,F
919,42.0,F
921,44.0,F
922,42.0,M
924,67.0,F
925,41.0,M
926,41.0,F
927,49.0,F
928,66.0,F
929,45.0,F
930,28.0,M
931,49.0,M
933,48.0,F
934,57.0,F
936,46.0,F
937,47.0,M
940,58.0,M
942,73.0,M
943,24.0,M
944,44.0,F
945,70.0,M
946,66.0,M
947,63.0,M
949,32.0,F
950,46.0,F
951,50.0,F
953,43.0,F
954,55.0,M
955,47.0,M
956,31.0,M
957,20.0,M
958,52.0,M
959,63.0,F
960,68.0,M
961,59.0,M
962,28.0,M
963,21.0,M
964,31.0,F
965,40.0,M
967,47.0,F
968,65.0,F
969,47.0,F
970,71.0,F
971,34.0,F
973,45.0,M
974,36.0,M
976,50.0,F
979,39.0,M
933,48.0,F
981,60.0,F
984,34.0,M
985,41.0,F
986,68.0,F
987,67.0,M
988,18.0,F
989,44.0,F
991,60.0,M
992,34.0,F
994,38.0,F
996,46.0,F
999,54.0,F
1000,46.0,F
1002,28.0,M
1003,44.0,M
1004,49.0,M
1005,43.0,M
1006,58.0,F
1008,53.0,M
1010,36.0,F
